Assembly ID	BioProject ID	BioSample ID	Taxonomy ID	#Markers	Reason
415548	66357	0	1032867	N/A	low quality
415838	169367	0	613201	N/A	low quality
415918	169366	0	613200	N/A	low quality
415958	169370	0	613203	N/A	low quality
415978	169509	0	569154	N/A	low quality
422088	165173	0	1189612	N/A	low quality
422388	172908	0	1223566	N/A	low quality
422958	89423	0	1161102	N/A	low quality
429758	69901	0	1054944	N/A	low quality
438608	81821	0	1137135	N/A	low quality
443298	159255	0	1174504	N/A	low quality
445408	82337	0	1094894	N/A	low quality
445418	82335	0	910458	N/A	low quality
445428	82333	0	910454	N/A	low quality
445608	64029	0	992011	N/A	low quality
445798	167224	0	1193044	N/A	low quality
446958	29361	0	521009	N/A	low quality
448618	175310	0	1232189	N/A	low quality
450068	51403	0	872330	N/A	low quality
450258	175352	0	1232674	N/A	low quality
457378	82353	0	1009695	N/A	low quality
457398	82359	0	1009422	N/A	low quality
495308	177352	1795900	1247739	N/A	low quality
495388	177352	1795904	1247743	N/A	low quality
495448	177352	1795907	1247745	N/A	low quality
495468	177352	1795908	1247746	N/A	low quality
501848	175738	0	1154764	N/A	low quality
505118	15927	0	90371	N/A	low quality
507988	170642	0	1206738	N/A	low quality
509598	47685	0	755865	N/A	low quality
509718	47685	0	755876	N/A	low quality
510298	47685	0	755905	N/A	low quality
510738	47685	0	755941	N/A	low quality
516918	156885	0	1168066	N/A	low quality
524278	29783	0	529122	N/A	low quality
525708	177154	0	1218564	N/A	low quality
527308	91101	0	1167007	N/A	low quality
534828	163305	0	1184265	N/A	low quality
534888	73881	0	1094186	N/A	low quality
537798	43537	0	77551	N/A	low quality
537818	43539	0	96496	N/A	low quality
541618	63021	0	317619	N/A	low quality
554808	76165	0	1108972	N/A	low quality
558348	177342	0	1241906	N/A	low quality
575428	77885	0	1118156	N/A	low quality
582648	85611	0	1087469	N/A	low quality
588288	66475	0	857042	N/A	low quality
593468	185400	0	1279013	N/A	low quality
